"subregion","region","pop","income","ipaddr","ufo2010"
"anson","north carolina",26351,34659,6125,1
"antelope","nebraska",6545,40474,2419,0
"antrim","michigan",23406,42440,13125,4
"apache","arizona",73195,31011,45388,16
"appanoose","iowa",12700,35230,5866,0
"appling","georgia",18368,34989,12301,0
"appomattox","virginia",15128,47992,3250,0
"aransas","texas",23818,44129,0,0
"arapahoe","colorado",595546,59937,9184255,69
"archer","texas",8735,53113,11627,1
"archuleta","colorado",12070,60170,12762,0
"arenac","michigan",15477,36281,4205,2
"arkansas","arkansas",18892,38986,9733,0
"arlington","virginia",221045,99651,580164,43
"armstrong","pennsylvania",68409,44663,50161,6
"armstrong","texas",1944,56538,0,1
"aroostook","maine",70868,37138,51221,6
"arthur","nebraska",486,43194,0,1
"ascension","louisiana",112286,66173,88428,3
"ashe","north carolina",27097,36498,19012,3
"ashland","ohio",52962,45641,38079,0
"ashland","wisconsin",15992,37900,10760,2
"ashley","arkansas",21524,35657,11132,0
"ashtabula","ohio",100389,41501,65007,17
"asotin","washington",21888,41993,10569,7
"assumption","louisiana",23026,46699,22826,4
"atascosa","texas",46446,43261,18571,2
"atchison","kansas",16813,44433,9232,0
"atchison","missouri",5517,44330,4941,2
"athens","ohio",64304,33546,107074,4
"atkinson","georgia",8284,32814,2293,0
"atlantic","new jersey",275422,55222,370037,3
"atoka","oklahoma",14007,33919,4093,0
"attala","mississippi",19157,29805,15992,1
"audrain","missouri",25621,41567,10426,3
"audubon","iowa",5910,41840,3331,2
"auglaize","ohio",45831,52838,50183,1
"augusta","virginia",73658,51719,255824,6
"aurora","south dakota",2742,46205,127,0
"austin","texas",28618,52510,22301,0
"autauga","alabama",55514,53899,23597,2
"avery","north carolina",17635,37985,79344,0
"avoyelles","louisiana",41632,32321,22594,0
"baca","colorado",3751,37111,538,0
"bacon","georgia",11198,32065,9161,0
"bailey","texas",7130,41106,9395,0
"baker","florida",27086,47041,20832,0
"baker","georgia",3366,27255,127,0
"baker","oregon",15909,40989,10362,0
"baldwin","alabama",190790,51321,106494,12
"baldwin","georgia",46367,36429,48480,2
"ballard","kentucky",8333,41875,9599,0
"baltimore","maryland",817455,65411,919105,3
"baltimore city","maryland",621342,40100,1832407,54
"bamberg","south carolina",15763,26697,13816,0
"bandera","texas",20537,45595,23248,2
"banks","georgia",18316,41397,9305,0
"banner","nebraska",760,27167,255,0
"bannock","idaho",83800,45347,131733,10
"baraga","michigan",8683,40115,17641,0
"barber","kansas",4861,41677,8946,0
"barbour","alabama",27201,34041,9951,0
"barbour","west virginia",16493,33158,6719,5
"barnes","north dakota",11015,43730,8326,0
"barnstable","massachusetts",215423,60525,174821,31
"barnwell","south carolina",22212,34546,13913,3
"barren","kentucky",42631,38616,33232,2
"barron","wisconsin",45733,44806,37127,2
"barrow","georgia",70169,50604,52074,9
"barry","michigan",58990,52061,50409,5
"barry","missouri",35546,38321,37634,0
"bartholomew","indiana",79129,53692,203053,6
"barton","kansas",27557,44989,17966,3
"barton","missouri",12337,39144,6241,0
"bartow","georgia",100661,49060,56000,9
"bastrop","texas",74763,52882,45981,6
"bates","missouri",16709,38966,9434,15
"bath","kentucky",11802,28776,2166,1
"bath","virginia",4652,52500,3152,0
"baxter","arkansas",41048,35589,29655,8
"bay","florida",171903,48225,73294,17
"bay","michigan",106935,45962,183583,9
"bayfield","wisconsin",15099,44190,7438,1
"baylor","texas",3623,37159,2041,0
"beadle","south dakota",17753,40455,10236,0
"bear lake","idaho",5907,43897,1914,0
"beaufort","north carolina",47507,40986,38306,1
"beaufort","south carolina",168049,57133,94865,12
"beauregard","louisiana",36281,45113,13200,4
"beaver","oklahoma",5591,47386,3327,1
"beaver","pennsylvania",170245,47928,96949,13
"beaver","utah",6501,43225,4990,2
"beaverhead","montana",9346,41226,7100,2
"becker","minnesota",33000,47959,27415,3
"beckham","oklahoma",23081,45726,15484,4
"bedford","pennsylvania",49324,40710,22124,4
"bedford","tennessee",45573,39480,30871,3
"bedford","virginia",69590,56021,57873,7
"bee","texas",32527,39247,11489,2
"belknap","new hampshire",60327,56921,30217,24
"bell","kentucky",28183,25269,7935,0
"bell","texas",323037,49466,318587,23
"belmont","ohio",69671,39712,35329,8
"beltrami","minnesota",45375,43989,36392,4
"ben hill","georgia",17538,31943,18131,2
"benewah","idaho",9117,37508,8484,3
"bennett","south dakota",3436,34500,127,0
"bennington","vermont",36697,48083,25235,4
"benson","north dakota",6760,32149,3824,1
"bent","colorado",5773,35667,2054,0
"benton","arkansas",232268,52159,1957565,23
"benton","indiana",8804,47240,3072,2
"benton","iowa",25827,55810,10109,3
"benton","minnesota",38865,51159,26992,0
"benton","mississippi",8730,28666,1295,0
"benton","missouri",18962,34512,15247,2
"benton","oregon",86430,47716,231659,19
"benton","tennessee",16361,34152,10634,0
"benton","washington",182398,59974,440014,34
"benzie","michigan",17465,47017,4606,2
"bergen","new jersey",918888,83443,2762728,44
"berkeley","south carolina",189781,51093,200561,10
"berkeley","west virginia",107098,52504,65036,12
"berks","pennsylvania",413491,54823,414882,22
"berkshire","massachusetts",130016,48705,209982,8
"bernalillo","new mexico",673460,48231,1478442,102
"berrien","georgia",19041,32512,11225,3
"berrien","michigan",156067,42488,290688,8
"bertie","north carolina",20653,29326,15198,0
"bexar","texas",1785704,48083,3036661,116
"bibb","alabama",22597,40506,6293,1
"bibb","georgia",156462,37975,189696,5
"bienville","louisiana",14076,30594,3706,0
"big horn","montana",13061,37277,4983,4
"big horn","wyoming",11794,52597,7394,2
"big stone","minnesota",5164,44438,1417,0
"billings","north dakota",905,53846,765,0
"bingham","idaho",45474,46169,11283,4
"black hawk","iowa",131820,44567,228041,12
"blackford","indiana",12502,40214,3650,1
"bladen","north carolina",34915,30273,9148,2
"blaine","idaho",21146,62906,30821,3
"blaine","montana",6683,38721,68704,2
"blaine","nebraska",514,39688,0,0
"blaine","oklahoma",9785,41306,4119,2
"blair","pennsylvania",127121,43243,87186,10
"blanco","texas",10655,46457,22279,1
"bland","virginia",6738,42864,826,0
"bleckley","georgia",12913,35997,7570,1
"bledsoe","tennessee",12792,35137,3959,0
"blount","alabama",57826,45404,32048,0
"blount","tennessee",124177,47298,120229,10
"blue earth","minnesota",65091,48911,123563,3
"boise","idaho",6835,47128,1901,0
"bolivar","mississippi",33904,27173,22595,1
"bollinger","missouri",12382,36119,2634,0
"bon homme","south dakota",7029,43456,11403,0
"bond","illinois",17644,50672,14957,0
"bonner","idaho",40476,42989,29725,4
"bonneville","idaho",106684,51311,204874,12
"boone","arkansas",37327,37703,27062,3
"boone","illinois",53940,61613,31074,2
"boone","indiana",58944,68284,43749,10
"boone","iowa",26195,51582,9327,3
"boone","kentucky",123316,68087,89077,0
"boone","missouri",168535,47123,553028,56
"boone","nebraska",5417,41691,3950,1
"boone","west virginia",24478,41359,11196,0
"borden","texas",616,59643,127,1
"bosque","texas",18125,44744,13902,1
"bossier","louisiana",122197,51771,53513,13
"botetourt","virginia",33154,65633,23711,2
"bottineau","north dakota",6579,44399,3317,0
"boulder","colorado",305318,66479,1407355,82
"boundary","idaho",10808,35324,7216,0
"bourbon","kansas",14897,39843,8045,0
"bourbon","kentucky",19978,42192,6667,0
"bowie","texas",93148,43210,36248,9
"bowman","north dakota",3202,50487,2421,0
"box butte","nebraska",11317,44118,10232,1
"box elder","utah",50171,55588,39421,1
"boyd","kentucky",49164,38848,44665,6
"boyd","nebraska",2054,37375,1147,1
"boyle","kentucky",28658,41035,20351,4
"bracken","kentucky",8494,39643,3430,0
"bradford","florida",27049,41397,11415,3
"bradford","pennsylvania",62792,42433,40423,8
"bradley","arkansas",11397,32337,3943,0
"bradley","tennessee",101134,40541,67288,3
"branch","michigan",43868,42505,24229,8
"brantley","georgia",18587,38374,6384,3
"braxton","west virginia",14468,31686,2943,0
"brazoria","texas",324769,67018,238077,19
"brazos","texas",200665,37161,339911,3
"breathitt","kentucky",13635,22304,1786,0
"breckinridge","kentucky",20071,38325,6019,0
"bremer","iowa",24479,58372,14542,0
"brevard","florida",547307,50068,827563,39
"brewster","texas",9316,39615,11315,3
"briscoe","texas",1561,34130,1019,0
"bristol","massachusetts",551082,55813,501152,34
"bristol","rhode island",49144,70553,42695,2
"broadwater","montana",5756,44570,5103,0
"bronx","new york",1408473,34744,806565,0
"brooke","west virginia",23853,41441,6210,2
"brookings","south dakota",32629,46101,90957,1
"brooks","georgia",15403,40186,8171,1
"brooks","texas",7161,19936,765,0
"broome","new york",198060,45619,347892,14
"broward","florida",1815137,51782,3028072,90
"brown","illinois",6914,42014,1356,0
"brown","indiana",15083,50503,5798,0
"brown","kansas",9881,36218,5996,1
"brown","minnesota",25425,48149,23568,0
"brown","nebraska",3023,29856,2033,4
"brown","ohio",44381,46046,16659,1
"brown","south dakota",37331,47327,33081,1
"brown","texas",37825,39965,29449,4
"brown","wisconsin",253032,53353,434200,17
"brule","south dakota",5293,48170,4025,0
"brunswick","north carolina",112257,45132,65670,8
"brunswick","virginia",17010,34170,8733,0
"bryan","georgia",32214,64651,22500,2
"bryan","oklahoma",43399,36661,18928,6
"buchanan","iowa",20942,54879,7927,0
"buchanan","missouri",89706,43386,155900,0
"buchanan","virginia",23859,30606,7878,0
"buckingham","virginia",17088,36378,3337,0
"bucks","pennsylvania",627053,76019,566955,43
"buena vista","iowa",20592,46145,81502,0
"buffalo","nebraska",47463,49851,99719,4
"buffalo","south dakota",2020,28493,382,0
"buffalo","wisconsin",13333,46073,9292,0
"bullitt","kentucky",75896,51857,46231,6
"bulloch","georgia",72694,33902,116314,4
"bullock","alabama",10474,31955,2487,0
"buncombe","north carolina",244490,44321,315333,36
"bureau","illinois",34323,48046,13760,3
"burke","georgia",23125,32188,7583,1
"burke","north carolina",90505,37440,44539,3
"burke","north dakota",2171,54402,0,0
"burleigh","north dakota",85774,56231,168710,6
"burleson","texas",17291,42679,12067,2
"burlington","new jersey",451336,77798,706042,16
"burnet","texas",43448,48291,32454,8
"burnett","wisconsin",15382,40686,4333,2
"burt","nebraska",6659,45813,3963,1
"butler","alabama",20307,31273,6451,0
"butler","iowa",14986,50052,7642,0
"butler","kansas",65827,57573,31084,10
"butler","kentucky",12840,32508,3283,0
"butler","missouri",43053,34080,40320,1
"butler","nebraska",8295,48804,1527,0
"butler","ohio",370589,55497,284906,13
"butler","pennsylvania",184970,57474,129127,16
"butte","california",221539,42971,220316,39
"butte","idaho",2740,37821,1019,2
"butte","south dakota",10228,41145,3059,0
"butts","georgia",23524,49339,24273,2
"cabarrus","north carolina",184498,54280,154996,15
"cabell","west virginia",96974,35691,62557,25
"cache","utah",115520,48338,259841,1
"caddo","louisiana",257093,39086,206447,13
"caddo","oklahoma",29678,37835,15456,3
"calaveras","california",44742,55256,35565,9
"calcasieu","louisiana",194493,43614,110291,26
"caldwell","kentucky",12935,37078,7936,0
"caldwell","louisiana",10004,38606,5493,0
"caldwell","missouri",9145,40522,3188,1
"caldwell","north carolina",81930,37845,41499,1
"caldwell","texas",38734,43136,19995,2
"caledonia","vermont",31121,44433,18368,0
"calhoun","alabama",117296,39467,366026,9
"calhoun","arkansas",5307,30625,4375,1
"calhoun","florida",14723,31142,9579,0
"calhoun","georgia",6504,32986,2170,0
"calhoun","illinois",5014,48958,3948,0
"calhoun","iowa",9909,44331,4717,0
"calhoun","michigan",135099,42287,164769,11
"calhoun","mississippi",14843,29893,5235,1
"calhoun","south carolina",14910,37318,2936,0
"calhoun","texas",21609,44433,9717,0
"calhoun","west virginia",7607,26099,6246,0
"callahan","texas",13517,45933,4526,0
"callaway","missouri",44305,50669,159016,3
"calloway","kentucky",37655,39316,40744,2
"calumet","wisconsin",49634,63395,21787,3
"calvert","maryland",89628,92981,66004,4
"camas","idaho",1077,41184,764,0
"cambria","pennsylvania",141584,41202,145213,11
"camden","georgia",51402,51061,104390,4
"camden","missouri",43845,44961,25835,3
"camden","new jersey",513539,61824,683993,14
"camden","north carolina",10090,63998,2494,2
"cameron","louisiana",6702,61679,509,1
"cameron","pennsylvania",4939,40449,1532,0
"cameron","texas",415557,32156,124958,6
"camp","texas",12449,36998,6282,0
"campbell","kentucky",90908,53018,42066,52
"campbell","south dakota",1396,40385,255,0
"campbell","tennessee",40420,31337,32256,0
"campbell","virginia",55163,45992,229323,10
"campbell","wyoming",47874,78356,85197,7
"canadian","oklahoma",122560,62355,59971,11
"candler","georgia",11117,37315,10860,0
"cannon","tennessee",13811,36742,3575,2
"canyon","idaho",193888,42943,73564,13
"cape girardeau","missouri",76950,45795,112268,6
"cape may","new jersey",96304,55315,50715,8
"carbon","montana",10127,46194,8992,0
"carbon","pennsylvania",65006,49056,123754,7
"carbon","utah",21246,43659,81111,0
"carbon","wyoming",15666,58655,14795,6
"caribou","idaho",6787,49740,3914,0
"carlisle","kentucky",5034,35699,1911,0
"carlton","minnesota",35348,53553,22195,3
"caroline","maryland",32718,61021,26945,6
"caroline","virginia",28972,58707,30663,1
"carroll","arkansas",27610,36031,18504,4
"carroll","georgia",111580,45752,155120,4
"carroll","illinois",15011,45433,9600,1
"carroll","indiana",20095,49232,13936,1
"carroll","iowa",20631,48038,9815,3
"carroll","kentucky",10900,42063,4006,1
"carroll","maryland",167217,83325,144717,12
"carroll","mississippi",10423,28793,1961,0
"carroll","missouri",9086,44015,5018,3
"carroll","new hampshire",47567,50555,42839,6
"carroll","ohio",28587,43323,23396,3
"carroll","tennessee",28390,36455,8439,1
"carroll","virginia",29851,35841,5350,2
"carson","texas",6157,60028,9451,1
"carson city","nevada",54838,54235,155406,3
"carter","kentucky",27348,35637,18633,0
"carter","missouri",6262,26689,1019,2
"carter","montana",1177,35121,255,0
"carter","oklahoma",48085,39722,28187,4
"carter","tennessee",57355,32148,12924,12
"carteret","north carolina",67632,47403,42582,7
"carver","minnesota",93707,82710,145312,7
"cascade","montana",81723,44074,73372,18
"casey","kentucky",16082,27327,3567,0
"cass","illinois",13338,41139,9246,3
"cass","indiana",38581,42679,18988,9
"cass","iowa",13723,41444,8996,2
"cass","michigan",52242,45432,44720,7
"cass","minnesota",28357,43042,21615,4
"cass","missouri",100376,60807,77507,12
"cass","nebraska",25133,63608,21834,3
"cass","north dakota",156157,49429,242403,9
"cass","texas",30166,35592,10489,3
"cassia","idaho",23249,39551,8941,3
"castro","texas",8164,36893,5325,0
"caswell","north carolina",23217,37926,6770,0
"catahoula","louisiana",10292,37115,1025,0
"catawba","north carolina",154339,43733,152894,15
"catoosa","georgia",65046,46549,38126,5
"catron","new mexico",3658,37857,4340,3
"cattaraugus","new york",79458,42754,97364,7
"cavalier","north dakota",3948,49293,463337,0
"cayuga","new york",79552,50140,120603,6
"cecil","maryland",101696,66903,78420,9
"cedar","iowa",18416,57004,13563,0
"cedar","missouri",13799,31353,14159,0
"cedar","nebraska",8746,42857,2039,1
"centre","pennsylvania",155171,48262,292577,22
"cerro gordo","iowa",43788,45973,37125,2
"chaffee","colorado",18150,43684,13050,3
"chambers","alabama",34064,32186,29423,0
"chambers","texas",36196,72850,15210,5
"champaign","illinois",203276,44462,560709,16
"champaign","ohio",39565,48335,28116,2
"chariton","missouri",7649,40958,3321,1
"charles","maryland",150592,92135,134751,8
"charles city","virginia",7157,47093,1252,0
"charles mix","south dakota",9216,36757,4767,1
"charleston","south carolina",365162,50133,564977,24
"charlevoix","michigan",26023,48745,12753,7
"charlotte","florida",162449,45112,83378,20
"charlotte","virginia",12404,37173,1533,0
"charlton","georgia",13295,42307,763,0
"chase","kansas",2757,39095,1020,0
"chase","nebraska",4064,40465,2008,0
"chatham","georgia",276434,45985,404847,21
"chatham","north carolina",65976,56935,45529,1
"chattahoochee","georgia",13037,49969,31015,0
"chattooga","georgia",25725,32224,10871,0
"chautauqua","kansas",3571,35791,2169,0
"chautauqua","new york",133539,41432,248978,9
"chaves","new mexico",65784,37293,18883,0
"cheatham","tennessee",39271,53337,15829,5
"cheboygan","michigan",25835,37844,12747,5
"chelan","washington",73687,49509,51178,7
"chemung","new york",88911,46589,111687,9
"chenango","new york",49933,44662,37392,2
"cherokee","alabama",26021,37833,9218,1
"cherokee","georgia",221315,66717,142182,16
"cherokee","iowa",11946,45668,10069,0
"cherokee","kansas",21226,41513,7409,0
"cherokee","north carolina",26992,38621,18737,3
"cherokee","oklahoma",48150,33990,23473,4
"cherokee","south carolina",55662,35025,36029,6
"cherokee","texas",51206,37758,36957,1
"cherry","nebraska",5727,41929,2563,2
"cheshire","new hampshire",76851,55241,138329,7
"chester","pennsylvania",506575,86264,1090492,49
"chester","south carolina",32546,32112,13272,1
"chester","tennessee",17171,39776,7647,0
"chesterfield","south carolina",46103,32304,21285,1
"chesterfield","virginia",323856,72886,442276,14
"cheyenne","colorado",1874,47188,766,1
"cheyenne","kansas",2678,36364,892,0
"cheyenne","nebraska",10068,50143,15016,0
"chickasaw","iowa",12276,42098,5516,0
"chickasaw","mississippi",17416,30395,4598,0
"chicot","arkansas",11433,23954,2779,0
"childress","texas",7029,47605,2197,0
"chilton","alabama",43819,40418,11551,1
"chippewa","michigan",38917,41108,28487,3
"chippewa","minnesota",12135,44712,7540,0
"chippewa","wisconsin",62922,50239,20051,4
"chisago","minnesota",53452,67075,47010,4
"chittenden","vermont",158504,62260,330642,3
"choctaw","alabama",13633,32188,6258,0
"choctaw","mississippi",8346,29832,2937,1
"choctaw","oklahoma",15182,28039,3877,4
"chouteau","montana",5904,40825,2303,1
"chowan","north carolina",14772,34565,9243,0
"christian","illinois",34638,43964,24019,1
"christian","kentucky",75427,37958,59585,10
"christian","missouri",79824,51961,53608,5
"churchill","nevada",24375,52589,31446,0
"cibola","new mexico",27334,36020,10900,0
"cimarron","oklahoma",2385,35440,511,1
"citrus","florida",139360,38189,79657,18
"clackamas","oregon",383857,63790,647938,23
"claiborne","louisiana",16828,32972,11967,0
"claiborne","mississippi",9349,21924,1546,0
"claiborne","tennessee",31736,33178,18672,4
"clallam","washington",71863,46212,42864,29
"clare","michigan",30753,34431,31048,4
"clarendon","south carolina",34357,33355,8656,1
"clarion","pennsylvania",39646,41557,27157,5
"clark","arkansas",22936,32998,18019,1
"clark","idaho",869,39792,765,0
"clark","illinois",16209,47933,14689,0
"clark","indiana",111951,49130,88934,4
"clark","kansas",2181,42011,1528,0
"clark","kentucky",35787,45726,28121,0
"clark","missouri",6969,40333,1547,0
"clark","nevada",2000759,55961,2614908,244
"clark","ohio",137206,44037,210201,9
"clark","south dakota",3585,45844,1402,0
"clark","washington",438287,59051,458825,93
"clark","wisconsin",34435,42756,8407,4
"clarke","alabama",25161,29668,9473,1
"clarke","georgia",120266,34151,1603050,9
"clarke","iowa",9370,45610,7654,1
"clarke","mississippi",16556,31059,2723,0
"clarke","virginia",14323,77048,9750,2
"clatsop","oregon",37301,43670,12381,3
"clay","alabama",13435,35410,9387,0
"clay","arkansas",15684,31135,1953,2
"clay","florida",194345,59994,1713392,5
"clay","georgia",3116,24750,1278,0
"clay","illinois",13766,38905,10901,1
"clay","indiana",26837,46916,17239,0
"clay","iowa",16599,45462,11539,5
"clay","kansas",8531,41829,3833,1
"clay","kentucky",21556,20206,15806,1
"clay","minnesota",60155,52108,99283,0
"clay","mississippi",20427,32919,10742,0
"clay","missouri",227577,60507,258558,9
"clay","nebraska",6411,45590,4133,2
"clay","north carolina",10618,36711,4461,1
"clay","south dakota",14131,39118,28451,0
"clay","tennessee",7840,28682,2936,3
"clay","texas",10535,52868,3839,0
"clay","west virginia",9297,29105,1782,0
"clayton","georgia",265888,42936,148413,5
"clayton","iowa",17835,46644,6118,0
"clear creek","colorado",9026,62756,6094,2
"clearfield","pennsylvania",81184,39391,64421,7
"clearwater","idaho",8590,42043,5747,0
"clearwater","minnesota",8703,39143,4726,0
"cleburne","alabama",14832,38785,4251,0
"cleburne","arkansas",25808,38510,13042,4
"clermont","ohio",199085,60219,108054,17
"cleveland","arkansas",8627,34292,4727,0
"cleveland","north carolina",97474,38352,143593,6
"cleveland","oklahoma",265638,53759,200923,16
"clinch","georgia",6718,33143,1146,0
"clinton","illinois",38061,57246,27229,3
"clinton","indiana",33022,48352,15262,9
"clinton","iowa",48717,48063,37606,1
"clinton","kentucky",10285,27654,2808,0
"clinton","michigan",76001,58244,60886,3
"clinton","missouri",20508,51439,21443,2
"clinton","new york",81654,49260,108611,6
"clinton","ohio",41886,47264,29986,4
"clinton","pennsylvania",39517,39696,5034,2
"cloud","kansas",9397,37073,7545,1
"coahoma","mississippi",25709,26050,11416,0
"coal","oklahoma",5963,34217,1545,2
"cobb","georgia",707442,65423,998336,39
"cochise","arizona",132088,45906,52489718,14
"cochran","texas",3046,40513,764,0
"cocke","tennessee",35571,28563,20562,2
"coconino","arizona",136011,49615,147482,28
"codington","south dakota",27606,44672,23389,0
"coffee","alabama",51252,42065,55351,4
"coffee","georgia",43170,34327,15672,3
"coffee","tennessee",53222,39268,81247,5
"coffey","kansas",8502,49552,71265,0
"coke","texas",3231,40000,2425,1
"colbert","alabama",54446,40247,25867,1
"cole","missouri",76363,55580,188454,0
"coleman","texas",8675,27910,6270,3
"coles","illinois",53655,38294,123116,5
"colfax","nebraska",10653,46685,2446,0
"colfax","new mexico",13223,38012,3310,1
"colleton","south carolina",38153,31700,17355,2
"collier","florida",332427,56876,236405,34
"collin","texas",834642,82758,2842473,50
"collingsworth","texas",3036,38750,382,1
"colorado","texas",20696,43252,8890,3
"colquitt","georgia",46137,33345,33058,6
"columbia","arkansas",24473,36163,18359,2
"columbia","florida",67966,38589,48399,7
"columbia","georgia",131627,66556,120479,4
"columbia","new york",62499,56185,49741,5
"columbia","oregon",49286,56270,30523,10
"columbia","pennsylvania",66887,44136,122049,0
"columbia","washington",3995,44038,1665,0
"columbia","wisconsin",56539,57805,27908,12
"columbiana","ohio",106507,41003,44178,7
"columbus","north carolina",57638,34938,11412,2
"colusa","california",21411,49558,8401,3
"comal","texas",114384,65521,53062,7
"comanche","kansas",1913,38750,892,0
"comanche","oklahoma",126390,45947,146635,12
"comanche","texas",13765,36326,15676,10
"concho","texas",4010,46528,1799,1
"concordia","louisiana",20365,28705,4592,0
"conecuh","alabama",12981,27977,4030,0
"conejos","colorado",8275,34435,278,1
"contra costa","california",1079597,79135,10964948,99
"converse","wyoming",14008,56673,14597,1
"conway","arkansas",21287,31890,7756,0
"cook","georgia",16923,35306,6634,1
"cook","illinois",5231351,54598,13984169,407
"cook","minnesota",5185,49496,3843,1
"cooke","texas",38688,50176,18071,3
"cooper","missouri",17520,45869,7959,1
"coos","new hampshire",32096,41087,20445,10
"coos","oregon",62534,37789,48913,5
"coosa","alabama",10966,37191,765,0
"copiah","mississippi",28955,38154,6847,1
"corson","south dakota",4077,28506,891,0
"cortland","new york",49474,45956,109534,5
"coryell","texas",77231,48920,47523,6
"coshocton","ohio",36779,40727,13514,2
"costilla","colorado",3594,25949,127,0
"cottle","texas",1486,39038,765,0
"cotton","oklahoma",6155,46075,2933,2
"cottonwood","minnesota",11597,43111,9424,0
"covington","alabama",37955,33544,16263,5
"covington","mississippi",19607,31127,4100,0
"coweta","georgia",130929,61015,100924,6
"cowley","kansas",36288,40924,23565,2
"cowlitz","washington",101996,46461,74682,26
"craig","oklahoma",14748,41010,19386,0
"craig","virginia",5213,54120,2928,1
"craighead","arkansas",99735,40221,125076,5
"crane","texas",4562,48648,9383,0
"craven","north carolina",104770,46251,41721,12
"crawford","arkansas",61946,40409,18441,12
"crawford","georgia",12600,37746,4085,0
"crawford","illinois",19600,43923,19807,0
"crawford","indiana",10665,40354,1402,0
"crawford","iowa",17309,45423,13408,0
"crawford","kansas",39361,36043,39677,0
"crawford","michigan",14009,39597,10961,0
"crawford","missouri",24832,35947,2165,2
"crawford","ohio",42849,41336,12014,2
"crawford","pennsylvania",87598,40379,113387,5
"crawford","wisconsin",16560,40933,7255,0
"creek","oklahoma",70651,42940,33582,6
"crenshaw","alabama",14083,38041,3526,1
"crisp","georgia",23606,32616,6635,0
"crittenden","arkansas",50021,35264,172030,5
"crittenden","kentucky",9280,32545,4724,0
"crockett","tennessee",14623,36743,26930,1
"crockett","texas",3743,51522,1416,2
"crook","oregon",20729,45004,13242,5
"crook","wyoming",7155,49757,2934,0
"crosby","texas",6126,35655,3319,0
"cross","arkansas",17683,38432,4991,1
"crow wing","minnesota",62882,45853,52309,3
"crowley","colorado",5365,40636,330,0
"culberson","texas",2290,37500,509,0
"cullman","alabama",80440,38703,51680,11
"culpeper","virginia",47911,66458,24148,0
"cumberland","illinois",10968,43255,4599,0
"cumberland","kentucky",6819,29528,3575,0
"cumberland","maine",283921,57267,291555,24
"cumberland","new jersey",157785,52004,120563,3
"cumberland","north carolina",324049,44861,329035,16
"cumberland","pennsylvania",238614,60832,434919,9
"cumberland","tennessee",57029,36955,50413,3
"cumberland","virginia",9849,45184,1912,0
"cuming","nebraska",9072,46847,2605,2
"currituck","north carolina",24077,57588,27140,10
"curry","new mexico",49938,40397,31888,1
"curry","oregon",22248,39787,8064,13
"custer","colorado",4249,43358,7074,0
"custer","idaho",4331,43445,2423,3
"custer","montana",11888,41373,5525,1
"custer","nebraska",10740,43657,10323,1
