"seq","dh.seq","day","hour","bytes"
216,18,"1","1855",2746363788
217,19,"1","1900",2885252109
218,19,"1","1905",3066385583
219,19,"1","1910",4091311104
220,19,"1","1915",1857143187
221,19,"1","1920",3641469750
222,19,"1","1925",3542866749
223,19,"1","1930",2888400186
224,19,"1","1935",3472061381
225,19,"1","1940",3805478116
226,19,"1","1945",4276954296
227,19,"1","1950",3375285937
228,19,"1","1955",3386348799
229,20,"1","2000",1905398549
230,20,"1","2005",3050086413
231,20,"1","2010",3382978872
232,20,"1","2015",4046337321
233,20,"1","2020",2668839538
234,20,"1","2025",2964773424
235,20,"1","2030",2980536560
236,20,"1","2035",3596258959
237,20,"1","2040",3348549624
238,20,"1","2045",3017041746
239,20,"1","2050",1742012804
240,20,"1","2055",2862970736
241,21,"1","2100",2703892423
242,21,"1","2105",3131638985
243,21,"1","2110",3056423685
244,21,"1","2115",2873646040
245,21,"1","2120",3496310827
246,21,"1","2125",2676492306
247,21,"1","2130",2231472441
248,21,"1","2135",3716296894
249,21,"1","2140",2572724517
250,21,"1","2145",2052930490
251,21,"1","2150",929233625
252,21,"1","2155",3100793159
253,22,"1","2200",2357217416
254,22,"1","2205",2935405905
255,22,"1","2210",2709860017
256,22,"1","2215",2458240493
257,22,"1","2220",2162453487
258,22,"1","2225",2979049366
259,22,"1","2230",2132047376
260,22,"1","2235",2615351520
261,22,"1","2240",3791387421
262,22,"1","2245",2106361938
263,22,"1","2250",2340916708
264,22,"1","2255",2884547447
265,23,"1","2300",1805342755
266,23,"1","2305",2675343313
267,23,"1","2310",1753485134
268,23,"1","2315",3179110910
269,23,"1","2320",2018235253
270,23,"1","2325",2707555568
271,23,"1","2330",2323585609
272,23,"1","2335",2983374126
273,23,"1","2340",2552997961
274,23,"1","2345",2708976518
275,23,"1","2350",3729622285
276,23,"1","2355",2625289780
277,24,"1","2400",2085394735
278,24,"1","2405",3189339682
279,24,"1","2410",2915843209
280,24,"1","2415",2192177112
281,24,"1","2420",1439386013
282,24,"1","2425",2606066834
283,24,"1","2430",2307761272
284,24,"1","2435",1503324622
285,24,"1","2440",2319606817
286,24,"1","2445",2134913189
287,24,"1","2450",3008515194
288,24,"1","2455",2925500243
289,25,"2","0100",2084741993
290,25,"2","0105",2933064264
291,25,"2","0110",2134850244
292,25,"2","0115",2440123302
293,25,"2","0120",1725465489
294,25,"2","0125",1860356697
295,25,"2","0130",1594636575
296,25,"2","0135",2165366136
297,25,"2","0140",1198672856
298,25,"2","0145",2589314296
299,25,"2","0150",3137337041
300,25,"2","0155",2309378745
301,26,"2","0200",1998691241
302,26,"2","0205",2295656721
303,26,"2","0210",1984514969
304,26,"2","0215",1675750967
305,26,"2","0220",2055839718
306,26,"2","0225",1881611792
307,26,"2","0230",1697919446
308,26,"2","0235",1567620037
309,26,"2","0240",1875519742
310,26,"2","0245",2366529802
311,26,"2","0250",2561385480
312,26,"2","0255",2384769902
313,27,"2","0300",1588280826
314,27,"2","0305",2416248094
315,27,"2","0310",2032229044
316,27,"2","0315",1851112794
317,27,"2","0320",2110003554
318,27,"2","0325",1985366874
319,27,"2","0330",1905080363
320,27,"2","0335",2526686449
321,27,"2","0340",2282390611
322,27,"2","0345",1651921280
323,27,"2","0350",2143185438
324,27,"2","0355",1450671576
325,28,"2","0400",2172382146
326,28,"2","0405",2167680744
327,28,"2","0410",2679685244
328,28,"2","0415",2180565366
329,28,"2","0420",2287852863
330,28,"2","0425",1711691966
331,28,"2","0430",1921413776
332,28,"2","0435",2034357984
333,28,"2","0440",2955812844
334,28,"2","0445",2611161793
335,28,"2","0450",820906506
336,28,"2","0455",2040601069
337,29,"2","0500",2469887786
338,29,"2","0505",4670051740
339,29,"2","0510",4584350321
340,29,"2","0515",5389439895
341,29,"2","0520",4190604631
342,29,"2","0525",4429593260
343,29,"2","0530",3852872104
344,29,"2","0535",3302639897
345,29,"2","0540",3536128784
346,29,"2","0545",3463934920
347,29,"2","0550",6697036738
348,29,"2","0555",4423026957
349,30,"2","0600",5481786201
350,30,"2","0605",7078947738
351,30,"2","0610",7210995602
352,30,"2","0615",5926133046
353,30,"2","0620",6108275193
354,30,"2","0625",6570767893
355,30,"2","0630",6004857508
356,30,"2","0635",6293865737
357,30,"2","0640",4948176610
358,30,"2","0645",6538564242
359,30,"2","0650",9424948748
360,30,"2","0655",6277044618
361,31,"2","0700",3914240222
362,31,"2","0705",10638027413
363,31,"2","0710",9283139434
364,31,"2","0715",9051767037
365,31,"2","0720",8799906590
366,31,"2","0725",8358293719
367,31,"2","0730",8193118375
368,31,"2","0735",7686794381
369,31,"2","0740",6490891117
370,31,"2","0745",8728302682
371,31,"2","0750",10927134294
372,31,"2","0755",6260153587
373,32,"2","0800",9756848912
374,32,"2","0805",10034188856
375,32,"2","0810",9923234189
376,32,"2","0815",9204793498
377,32,"2","0820",9487731216
378,32,"2","0825",10993342366
379,32,"2","0830",10277729417
380,32,"2","0835",8931397054
381,32,"2","0840",11614173645
382,32,"2","0845",12332593419
383,32,"2","0850",10893852919
384,32,"2","0855",8557489646
385,33,"2","0900",9237514823
386,33,"2","0905",15785216903
387,33,"2","0910",8681980052
388,33,"2","0915",10366602012
389,33,"2","0920",11285285272
390,33,"2","0925",11056061493
391,33,"2","0930",9581399736
392,33,"2","0935",13647057771
393,33,"2","0940",8503978917
394,33,"2","0945",7190690628
395,33,"2","0950",17447465196
396,33,"2","0955",12404438574
397,34,"2","1000",8139949252
398,34,"2","1005",8317879410
399,34,"2","1010",13449382298
400,34,"2","1015",8157800097
401,34,"2","1020",11017075284
402,34,"2","1025",13371673737
403,34,"2","1030",9497862162
404,34,"2","1035",11522560833
405,34,"2","1040",10266067807
406,34,"2","1045",9546039797
407,34,"2","1050",13866077805
408,34,"2","1055",8176759634
409,35,"2","1100",10858777951
410,35,"2","1105",14798484721
411,35,"2","1110",10675827615
412,35,"2","1115",11671932018
413,35,"2","1120",9938629417
414,35,"2","1125",8474247422
415,35,"2","1130",10752174971
416,35,"2","1135",9694279578
417,35,"2","1140",7766459804
418,35,"2","1145",12149629675
419,35,"2","1150",19097934382
420,35,"2","1155",8623195427
421,36,"2","1200",6756894530
422,36,"2","1205",7669854567
423,36,"2","1210",13987183531
424,36,"2","1215",10614339376
425,36,"2","1220",10730915239
426,36,"2","1225",8564474447
427,36,"2","1230",7277751953
428,36,"2","1235",11224218349
429,36,"2","1240",9465833297
430,36,"2","1245",10414625784
431,36,"2","1250",12832966743
432,36,"2","1255",7325360884
433,37,"2","1300",11988651831
434,37,"2","1305",9205429484
435,37,"2","1310",7348521243
436,37,"2","1315",12922094000
437,37,"2","1320",13556937571
438,37,"2","1325",11681563730
439,37,"2","1330",9879243979
440,37,"2","1335",11493448200
441,37,"2","1340",13608230653
442,37,"2","1345",9379164676
443,37,"2","1350",6443213257
444,37,"2","1355",11050491055
445,38,"2","1400",8892973962
446,38,"2","1405",15826717614
447,38,"2","1410",7457321903
448,38,"2","1415",11148210321
449,38,"2","1420",9731636220
450,38,"2","1425",8150383140
451,38,"2","1430",10342743790
452,38,"2","1435",13499346105
453,38,"2","1440",8437667016
454,38,"2","1445",12295578022
455,38,"2","1450",7701289400
456,38,"2","1455",8128651150
457,39,"2","1500",7533870438
458,39,"2","1505",14864093584
459,39,"2","1510",13223861310
460,39,"2","1515",6536293040
461,39,"2","1520",8093339079
462,39,"2","1525",9731389124
463,39,"2","1530",9649982185
464,39,"2","1535",9562986117
465,39,"2","1540",8843680100
466,39,"2","1545",10876599081
467,39,"2","1550",13011866981
468,39,"2","1555",10382000119
469,40,"2","1600",7428291645
470,40,"2","1605",9723701115
471,40,"2","1610",8267799459
472,40,"2","1615",8120140585
473,40,"2","1620",7262449090
474,40,"2","1625",8791948916
475,40,"2","1630",6640413407
476,40,"2","1635",7434548709
477,40,"2","1640",7398031791
478,40,"2","1645",8508287640
479,40,"2","1650",1756297632
480,40,"2","1655",9663900908
481,41,"2","1700",4651074825
482,41,"2","1705",5755677250
483,41,"2","1710",8041685763
484,41,"2","1715",4054486926
485,41,"2","1720",4745306672
486,41,"2","1725",4989822151
487,41,"2","1730",4578387675
488,41,"2","1735",2549816358
489,41,"2","1740",3568783774
490,41,"2","1745",6050026800
491,41,"2","1750",6609545555
492,41,"2","1755",6280271497
493,42,"2","1800",3522619926
494,42,"2","1805",2554750342
495,42,"2","1810",3238232353
496,42,"2","1815",2880575939
497,42,"2","1820",2100823918
498,42,"2","1825",2368137730
499,42,"2","1830",2216099707
500,42,"2","1835",3351769248
501,42,"2","1840",3236935521
502,42,"2","1845",1677829284
503,42,"2","1850",4287271717
504,42,"2","1855",1824203228
505,43,"2","1900",4962757198
506,43,"2","1905",6698447660
507,43,"2","1910",4466156181
508,43,"2","1915",5183375019
509,43,"2","1920",4387043888
510,43,"2","1925",5809352107
511,43,"2","1930",4077200332
512,43,"2","1935",8564899481
513,43,"2","1940",4486090796
514,43,"2","1945",4851979803
515,43,"2","1950",4671574371
516,43,"2","1955",5312821190
517,44,"2","2000",4313046928
518,44,"2","2005",5623417261
519,44,"2","2010",7011713066
520,44,"2","2015",4249283090
521,44,"2","2020",6418205014
522,44,"2","2025",7146816664
523,44,"2","2030",4471116619
524,44,"2","2035",4658518781
525,44,"2","2040",5761192723
526,44,"2","2045",7252966393
527,44,"2","2050",3595745586
528,44,"2","2055",5455511007
529,45,"2","2100",3140993394
530,45,"2","2105",4366311014
531,45,"2","2110",3135580959
532,45,"2","2115",2700992404
533,45,"2","2120",3080341102
534,45,"2","2125",3653453613
535,45,"2","2130",4205838273
536,45,"2","2135",2325597610
537,45,"2","2140",3072215966
538,45,"2","2145",5118133842
539,45,"2","2150",5754584408
540,45,"2","2155",3875339046
541,46,"2","2200",3084280483
542,46,"2","2205",3849375677
543,46,"2","2210",2315192094
544,46,"2","2215",2809740672
545,46,"2","2220",2640725769
546,46,"2","2225",3477925682
547,46,"2","2230",2840509822
548,46,"2","2235",3628767270
549,46,"2","2240",3679267698
550,46,"2","2245",3204475263
551,46,"2","2250",4469266518
552,46,"2","2255",3015421859
553,47,"2","2300",1961981887
554,47,"2","2305",2607502215
555,47,"2","2310",1750776913
556,47,"2","2315",2522395702
557,47,"2","2320",1957280130
558,47,"2","2325",1845292344
559,47,"2","2330",1863050120
560,47,"2","2335",2020844431
561,47,"2","2340",1747642191
562,47,"2","2345",1881220240
563,47,"2","2350",3073336160
564,47,"2","2355",2218197781
565,48,"2","2400",2000514715
566,48,"2","2405",2266108839
567,48,"2","2410",1840738401
568,48,"2","2415",1678456326
569,48,"2","2420",1556842542
570,48,"2","2425",2143775352
571,48,"2","2430",1758091790
572,48,"2","2435",1530525364
573,48,"2","2440",1847107099
574,48,"2","2445",1581493657
575,48,"2","2450",1335984738
576,48,"2","2455",1946635925
577,49,"3","0100",1807929566
578,49,"3","0105",2026096440
579,49,"3","0110",2455032641
580,49,"3","0115",1542122630
581,49,"3","0120",1599560043
582,49,"3","0125",1876611433
583,49,"3","0130",1838043832
584,49,"3","0135",1911745792
585,49,"3","0140",1950397851
586,49,"3","0145",2331381098
587,49,"3","0150",1532995803
588,49,"3","0155",2015785943
589,50,"3","0200",1386948514
590,50,"3","0205",2236092762
591,50,"3","0210",2644081759
592,50,"3","0215",1491381845
593,50,"3","0220",2278596016
594,50,"3","0225",2110111496
595,50,"3","0230",1793958239
596,50,"3","0235",1819070526
597,50,"3","0240",1807517846
598,50,"3","0245",2149369666
599,50,"3","0250",4069584614
600,50,"3","0255",1751267179
601,51,"3","0300",2400726322
602,51,"3","0305",2748834043
603,51,"3","0310",1989957746
604,51,"3","0315",2286422903
605,51,"3","0320",2717852905
606,51,"3","0325",2183149938
607,51,"3","0330",1715967527
608,51,"3","0335",2475771309
609,51,"3","0340",751277646
610,51,"3","0345",2302811111
611,51,"3","0350",2732230437
612,51,"3","0355",2002069698
613,52,"3","0400",1245910263
614,52,"3","0405",2376497449
615,52,"3","0410",2277360572
616,52,"3","0415",1981779097
617,52,"3","0420",2258594178
618,52,"3","0425",1993009304
619,52,"3","0430",1898061682
620,52,"3","0435",2338724338
621,52,"3","0440",1593696729
622,52,"3","0445",2636642245
623,52,"3","0450",3082819257
624,52,"3","0455",2075296754
625,53,"3","0500",3101644213
626,53,"3","0505",6018481597
627,53,"3","0510",4302973426
628,53,"3","0515",3880465679
629,53,"3","0520",3552531969
630,53,"3","0525",3977918330
631,53,"3","0530",3892252917
632,53,"3","0535",5276585371
633,53,"3","0540",3349913217
634,53,"3","0545",4952523558
635,53,"3","0550",5285054406
636,53,"3","0555",3608978380
637,54,"3","0600",3767054033
638,54,"3","0605",9277177151
639,54,"3","0610",6181126934
640,54,"3","0615",6467913200
641,54,"3","0620",4515675759
642,54,"3","0625",5256524150
643,54,"3","0630",5825888431
644,54,"3","0635",3263992497
645,54,"3","0640",4205210394
646,54,"3","0645",5769955735
647,54,"3","0650",10441618616
648,54,"3","0655",6955059657
649,55,"3","0700",6525381366
650,55,"3","0705",9265959756
651,55,"3","0710",5489754075
652,55,"3","0715",8224383710
653,55,"3","0720",7722165317
654,55,"3","0725",6476581965
655,55,"3","0730",7443175270
656,55,"3","0735",11319694377
657,55,"3","0740",8566114644
658,55,"3","0745",8419673570
659,55,"3","0750",9888303551
660,55,"3","0755",6594172900
661,56,"3","0800",9807953144
662,56,"3","0805",9767854644
663,56,"3","0810",10500122543
664,56,"3","0815",9780720531
665,56,"3","0820",10249926341
666,56,"3","0825",11618393135
667,56,"3","0830",9383990948
668,56,"3","0835",14509800679
669,56,"3","0840",8519712071
670,56,"3","0845",9708436093
671,56,"3","0850",5201480555
672,56,"3","0855",10353163165
673,57,"3","0900",7240625739
674,57,"3","0905",9896662174
675,57,"3","0910",14052285650
676,57,"3","0915",11350729687
677,57,"3","0920",10632563454
678,57,"3","0925",12624211808
679,57,"3","0930",8498333642
680,57,"3","0935",19662502458
681,57,"3","0940",12147661431
682,57,"3","0945",10339276926
683,57,"3","0950",16829565149
684,57,"3","0955",11233894396
685,58,"3","1000",7038502364
686,58,"3","1005",11875748258
687,58,"3","1010",10641855596
688,58,"3","1015",11188038342
689,58,"3","1020",12002843362
690,58,"3","1025",14822875174
691,58,"3","1030",10880756226
692,58,"3","1035",10247452045
693,58,"3","1040",10910158279
694,58,"3","1045",14852799871
695,58,"3","1050",16497021655
696,58,"3","1055",8272322872
697,59,"3","1100",8436251217
698,59,"3","1105",11967422798
699,59,"3","1110",11581856090
700,59,"3","1115",10698058399
701,59,"3","1120",11565678876
702,59,"3","1125",9537623704
703,59,"3","1130",9505653321
704,59,"3","1135",13230781406
705,59,"3","1140",8799757883
706,59,"3","1145",7878254331
707,59,"3","1150",17258545953
708,59,"3","1155",12237217392
709,60,"3","1200",8444024767
710,60,"3","1205",8844788611
711,60,"3","1210",8809695937
712,60,"3","1215",11249824200
713,60,"3","1220",6047511239
714,60,"3","1225",9287076324
715,60,"3","1230",7745949430
716,60,"3","1235",14555737152
717,60,"3","1240",6812691050
718,60,"3","1245",7480313155
719,60,"3","1250",11596384908
720,60,"3","1255",9784611962
721,61,"3","1300",11178117901
722,61,"3","1305",11560835827
723,61,"3","1310",11109646816
724,61,"3","1315",12473081435
725,61,"3","1320",10856956293
726,61,"3","1325",12140925201
727,61,"3","1330",10053063800
728,61,"3","1335",9823438117
729,61,"3","1340",11123819844
730,61,"3","1345",9428500691
731,61,"3","1350",7815712878
732,61,"3","1355",15087693846
733,62,"3","1400",8170494819
734,62,"3","1405",12354365479
735,62,"3","1410",12022639615
736,62,"3","1415",9019712858
737,62,"3","1420",7527723618
738,62,"3","1425",9070293644
739,62,"3","1430",9714310879
740,62,"3","1435",10377394922
741,62,"3","1440",7613662267
742,62,"3","1445",8211684162
743,62,"3","1450",8523970313
744,62,"3","1455",9767288171
745,63,"3","1500",12282287977
746,63,"3","1505",12812645684
747,63,"3","1510",12663329923
748,63,"3","1515",11709098548
749,63,"3","1520",10444368352
750,63,"3","1525",10351654654
751,63,"3","1530",10371505890
752,63,"3","1535",13822847615
753,63,"3","1540",8920288117
754,63,"3","1545",7371342885
755,63,"3","1550",10772189252
756,63,"3","1555",11236069517
757,64,"3","1600",5508671569
758,64,"3","1605",9763842645
759,64,"3","1610",8150383843
760,64,"3","1615",7558452956
761,64,"3","1620",6823312672
762,64,"3","1625",8810962482
763,64,"3","1630",6476252588
764,64,"3","1635",11106382253
765,64,"3","1640",6430889452
766,64,"3","1645",9077730875
767,64,"3","1650",4694797423
768,64,"3","1655",6641486083
769,65,"3","1700",2953347544
770,65,"3","1705",4943664490
771,65,"3","1710",3327495794
772,65,"3","1715",5053499719
773,65,"3","1720",4135615495
774,65,"3","1725",3993783114
775,65,"3","1730",4554251733
776,65,"3","1735",6629824735
777,65,"3","1740",2884048427
778,65,"3","1745",4577368062
779,65,"3","1750",7897218628
780,65,"3","1755",4236605298
781,66,"3","1800",2618037300
782,66,"3","1805",3272249252
783,66,"3","1810",2677570847
784,66,"3","1815",2719712390
785,66,"3","1820",2866195779
786,66,"3","1825",2944509029
787,66,"3","1830",3128865710
788,66,"3","1835",3952875892
789,66,"3","1840",3335901691
790,66,"3","1845",2974941911
791,66,"3","1850",5148433239
792,66,"3","1855",3139135404
793,67,"3","1900",3901537226
794,67,"3","1905",5688353539
795,67,"3","1910",4281608941
796,67,"3","1915",3211808778
797,67,"3","1920",3195654382
798,67,"3","1925",5506623480
799,67,"3","1930",4628582492
800,67,"3","1935",4773999136
801,67,"3","1940",4477177490
802,67,"3","1945",7077891195
803,67,"3","1950",6893171197
804,67,"3","1955",4426567489
805,68,"3","2000",5029634558
806,68,"3","2005",6421109385
807,68,"3","2010",4906498703
808,68,"3","2015",6928344349
809,68,"3","2020",4780934790
810,68,"3","2025",3594329537
811,68,"3","2030",4971069125
812,68,"3","2035",4784009553
813,68,"3","2040",4246314777
814,68,"3","2045",6393096060
815,68,"3","2050",8671795705
816,68,"3","2055",5366352052
817,69,"3","2100",4035637726
818,69,"3","2105",3738068400
819,69,"3","2110",4052457389
820,69,"3","2115",4808854463
821,69,"3","2120",3538649335
822,69,"3","2125",3413284623
823,69,"3","2130",3104386483
824,69,"3","2135",5412702562
825,69,"3","2140",2999219970
826,69,"3","2145",4735013464
827,69,"3","2150",4151698606
828,69,"3","2155",4238238084
829,70,"3","2200",2224981480
830,70,"3","2205",3232250119
831,70,"3","2210",1960417016
832,70,"3","2215",2433207895
833,70,"3","2220",2476200791
834,70,"3","2225",2493577936
835,70,"3","2230",2265751003
836,70,"3","2235",1908242435
837,70,"3","2240",2941050629
838,70,"3","2245",4075054238
839,70,"3","2250",4243518777
840,70,"3","2255",3900170359
841,71,"3","2300",2043286259
842,71,"3","2305",1792888521
843,71,"3","2310",1706245638
844,71,"3","2315",2282002775
845,71,"3","2320",2082169820
846,71,"3","2325",1897576792
847,71,"3","2330",2015477196
848,71,"3","2335",1863033768
849,71,"3","2340",2230756668
850,71,"3","2345",2749725196
851,71,"3","2350",2568555279
852,71,"3","2355",2081340948
853,72,"3","2400",2290600120
854,72,"3","2405",1995678922
855,72,"3","2410",2898991917
856,72,"3","2415",2157102762
857,72,"3","2420",1681637341
858,72,"3","2425",2271925601
859,72,"3","2430",1867503849
860,72,"3","2435",2186736572
861,72,"3","2440",1987195784
862,72,"3","2445",2363344190
863,72,"3","2450",2420920204
864,72,"3","2455",2056623250
865,73,"4","0100",2133622725
866,73,"4","0105",1921929693
867,73,"4","0110",2108158323
868,73,"4","0115",1562951534
869,73,"4","0120",1954494679
870,73,"4","0125",1688649101
871,73,"4","0130",1790599740
872,73,"4","0135",2506881104
873,73,"4","0140",2307161511
874,73,"4","0145",2155367116
875,73,"4","0150",1933502073
876,73,"4","0155",1931099959
877,74,"4","0200",1770330686
878,74,"4","0205",1768305912
879,74,"4","0210",2152751927
880,74,"4","0215",1667628736
881,74,"4","0220",1697662207
882,74,"4","0225",2285344697
883,74,"4","0230",1932807040
884,74,"4","0235",1698540438
885,74,"4","0240",2705449011
886,74,"4","0245",2518189548
887,74,"4","0250",686763233
888,74,"4","0255",2134005600
889,75,"4","0300",1269805307
890,75,"4","0305",1998816338
891,75,"4","0310",2346318507
892,75,"4","0315",1934611246
893,75,"4","0320",1580883148
894,75,"4","0325",2013821531
895,75,"4","0330",2092738748
896,75,"4","0335",3245143464
897,75,"4","0340",1804606994
898,75,"4","0345",2667382507
899,75,"4","0350",2232149724
900,75,"4","0355",2332620412
901,76,"4","0400",1834639355
902,76,"4","0405",2554312299
903,76,"4","0410",2444211885
904,76,"4","0415",2233485580
905,76,"4","0420",1837570296
906,76,"4","0425",1761845382
907,76,"4","0430",2098902487
908,76,"4","0435",2429555531
909,76,"4","0440",1761462512
910,76,"4","0445",2177730178
911,76,"4","0450",2258604568
912,76,"4","0455",2204335536
913,77,"4","0500",2978233017
914,77,"4","0505",4694008091
915,77,"4","0510",5104536500
916,77,"4","0515",2932069323
917,77,"4","0520",4771689141
918,77,"4","0525",4985931048
919,77,"4","0530",3978907616
920,77,"4","0535",4844571613
921,77,"4","0540",3348804094
922,77,"4","0545",5022088510
923,77,"4","0550",3415281152
924,77,"4","0555",3659065568
925,78,"4","0600",5081503915
926,78,"4","0605",5911991293
927,78,"4","0610",4929401427
928,78,"4","0615",6228286789
929,78,"4","0620",4344724159
930,78,"4","0625",6469014430
